actiune, data_executie
Afisare Meniu Catalog,2022/05/11 23:54:41
Afisare File Catalog,2022/05/11 23:54:51
Afisare Meniu Catalog,2022/05/12 00:02:17
Afisare File Catalog,2022/05/12 00:02:20
Afisare Meniu Catalog,2022/05/12 00:03:46
Afisare File Catalog,2022/05/12 00:03:49
Afisare Meniu Catalog,2022/05/12 00:05:23
Afisare File Catalog,2022/05/12 00:05:26
Afisare Meniu Catalog,2022/05/12 00:07:46
Afisare File Catalog,2022/05/12 00:07:50
Afisare Meniu Catalog,2022/05/12 00:11:12
Afisare File Catalog,2022/05/12 00:11:13
Afisare Meniu Catalog,2022/05/12 00:16:27
Afisare Meniu Catalog,2022/05/12 00:18:00
Afisare Meniu Catalog,2022/05/12 00:19:45
Afisare Meniu Catalog,2022/05/12 00:20:37
Afisare File Catalog,2022/05/12 00:20:39
Afisare Meniu Catalog,2022/05/12 00:22:46
Afisare File Catalog,2022/05/12 00:22:48
Afisare Meniu Catalog,2022/05/12 00:23:13
Citire date Contact,2022/05/12 00:23:30
Afisare Meniu Catalog,2022/05/12 00:24:54
Afisare File Catalog,2022/05/12 00:24:56
Citire date Contact,2022/05/12 00:25:25
Citire date Adresa,2022/05/12 00:25:56
Afisare Meniu Catalog,2022/05/12 00:28:03
Afisare Meniu Utilizatori,2022/05/12 00:28:57
Afisare Meniu Student,2022/05/12 00:28:59
Afisare Meniu Utilizatori,2022/05/12 00:33:20
Afisare Meniu Student,2022/05/12 00:33:22
Afisare Meniu Utilizatori,2022/05/12 00:34:24
Afisare Meniu Student,2022/05/12 00:34:27
Afisare Meniu Catalog,2022/05/12 00:35:10
Afisare Meniu Catalog,2022/05/12 00:36:01
Afisare Meniu Utilizatori,2022/05/12 00:37:29
Afisare Meniu Student,2022/05/12 00:37:31
Afisare Meniu Utilizatori,2022/05/12 00:48:26
Afisare Meniu Student,2022/05/12 00:48:28
Afisare Meniu Catalog,2022/05/12 00:48:43
Afisare Meniu Catalog,2022/05/12 00:53:51
Afisare File Catalog,2022/05/12 00:53:53
Citire date Contact,2022/05/12 00:54:09
Citire date Adresa,2022/05/12 00:54:22
Citire date Sala,2022/05/12 00:54:49
Citire date Materie,2022/05/12 00:54:49
Citire date Contact,2022/05/12 00:55:03
Citire date Adresa,2022/05/12 00:55:13
Adaugare fila in Catalog,2022/05/12 00:55:13
Afisare File Catalog,2022/05/12 00:55:16
Afisare Fila Catalog dupa ID,2022/05/12 00:55:20
Inchidere meniu Catalog,2022/05/12 00:55:22
Afisare Meniu Utilizatori,2022/05/12 00:55:24
Afisare Meniu Student,2022/05/12 00:55:29
Citire date Contact,2022/05/12 00:55:58
Citire date Adresa,2022/05/12 00:56:08
Citire date Student,2022/05/12 00:56:08
Afisare Student dupa ID,2022/05/12 00:56:25
Incarcare date din CSV,2022/05/12 01:01:42
Afisare Meniu Utilizatori,2022/05/12 01:01:47
Afisare Meniu Student,2022/05/12 01:01:48
Afisare Student dupa ID,2022/05/12 01:01:51
Incarcare date din CSV,2022/05/12 01:04:10
Afisare Meniu Catalog,2022/05/12 01:04:13
Citire date Contact,2022/05/12 01:04:37
Citire date Adresa,2022/05/12 01:04:46
Citire date Sala,2022/05/12 01:05:21
Citire date Materie,2022/05/12 01:05:21
Citire date Contact,2022/05/12 01:05:31
Citire date Adresa,2022/05/12 01:05:38
Adaugare fila in Catalog,2022/05/12 01:05:38
Afisare File Catalog,2022/05/12 01:05:41
Inchidere meniu Catalog,2022/05/12 01:05:44
Afisare Meniu Utilizatori,2022/05/12 01:05:47
Afisare Meniu Student,2022/05/12 01:05:52
Afisare Student dupa ID,2022/05/12 01:06:01
Inchidere meniu Student,2022/05/12 01:06:05
Inchidere meniu utilizatori,2022/05/12 01:06:07
Se inchide aplicatia,2022/05/12 01:06:09
Incarcare date din CSV,2022/05/24 01:03:25
Incarcare date din CSV,2022/05/25 01:52:23
Incarcare date din CSV,2022/05/25 01:52:49
Afisare Meniu Utilizatori,2022/05/25 01:52:55
Afisare Meniu Student,2022/05/25 01:52:56
Citire date Contact,2022/05/25 01:53:14
Citire date Adresa,2022/05/25 01:53:23
Citire date Student,2022/05/25 01:53:23
Incarcare date din CSV,2022/05/25 02:15:21
Afisare Meniu Utilizatori,2022/05/25 02:15:24
Afisare Meniu Student,2022/05/25 02:15:31
Citire date Contact,2022/05/25 02:15:40
Citire date Adresa,2022/05/25 02:15:44
Citire date Student,2022/05/25 02:15:44
Incarcare date din CSV,2022/05/25 02:22:06
Afisare Meniu Utilizatori,2022/05/25 02:22:09
Afisare Meniu Student,2022/05/25 02:22:10
Citire date Contact,2022/05/25 02:22:17
Citire date Adresa,2022/05/25 02:22:19
Citire date Student,2022/05/25 02:22:19
Incarcare date din CSV,2022/05/25 02:24:30
Afisare Meniu Utilizatori,2022/05/25 02:24:32
Afisare Meniu Student,2022/05/25 02:24:33
Citire date Contact,2022/05/25 02:24:42
Citire date Adresa,2022/05/25 02:24:46
Citire date Student,2022/05/25 02:24:46
Incarcare date din CSV,2022/05/25 02:45:36
Incarcare date din CSV,2022/05/25 02:46:05
Incarcare date din CSV,2022/05/25 03:09:18
Afisare Meniu Utilizatori,2022/05/25 03:09:22
Afisare Meniu Student,2022/05/25 03:09:27
Citire date Contact,2022/05/25 03:09:46
Citire date Adresa,2022/05/25 03:09:55
Citire date Student,2022/05/25 03:09:55
Incarcare date din CSV,2022/05/25 17:45:38
Incarcare date din CSV,2022/05/25 17:48:22
Incarcare date din CSV,2022/05/25 17:51:01
Incarcare date din CSV,2022/05/25 18:22:38
Incarcare date din CSV,2022/05/25 18:25:11
Reafisare Meniu Principal,2022/05/25 18:25:14
Afisare Meniu Catalog,2022/05/25 18:25:18
Afisare Fila Catalog dupa ID,2022/05/25 18:25:23
Sterge Fila Catalog dupa ID,2022/05/25 18:25:37
Incarcare date din CSV,2022/05/25 18:52:31
Afisare Meniu Utilizatori,2022/05/25 18:52:34
Afisare Meniu Profesor,2022/05/25 18:52:36
Afisare profesor dupa ID,2022/05/25 18:52:40
Citire date Sala,2022/05/25 18:53:04
Citire date Materie,2022/05/25 18:53:04
Citire date Contact,2022/05/25 18:53:14
Citire date Adresa,2022/05/25 18:53:23
Citire Profesori,2022/05/25 18:53:23
Citire date Sala,2022/05/25 18:54:17
Citire date Materie,2022/05/25 18:54:17
Citire date Contact,2022/05/25 18:54:22
Citire date Adresa,2022/05/25 18:54:26
Update date Profesor,2022/05/25 18:54:26
Afisare Profesori,2022/05/25 18:54:28
Incarcare date din CSV,2022/05/25 19:31:49
Afisare Meniu Utilizatori,2022/05/25 19:31:55
Afisare Meniu Student,2022/05/25 19:31:56
Citire date Contact,2022/05/25 19:32:23
Citire date Adresa,2022/05/25 19:32:38
Citire date Student,2022/05/25 19:32:38
Afisare Meniu Utilizatori,2022/05/26 14:37:37
Afisare Meniu Profesor,2022/05/26 14:37:39
Citire date Sala,2022/05/26 14:38:04
Citire date Materie,2022/05/26 14:38:04
Citire date Contact,2022/05/26 14:38:15
Citire date Adresa,2022/05/26 14:38:30
Citire Profesori,2022/05/26 14:38:30
Afisare Profesori,2022/05/26 14:38:33
Afisare Meniu Utilizatori,2022/05/26 14:43:20
Afisare Meniu Profesor,2022/05/26 14:43:22
Citire date Sala,2022/05/26 14:43:43
Citire date Materie,2022/05/26 14:43:43
Afisare Meniu Utilizatori,2022/05/26 14:46:59
Afisare Meniu Profesor,2022/05/26 14:47:01
Citire date Sala,2022/05/26 14:47:13
Citire date Materie,2022/05/26 14:47:13
Citire date Contact,2022/05/26 14:47:25
Citire date Adresa,2022/05/26 14:47:39
Citire Profesori,2022/05/26 14:47:39
Afisare Profesori,2022/05/26 14:47:42
Afisare Meniu Utilizatori,2022/05/26 15:20:48
Afisare Meniu Student,2022/05/26 15:20:50
Citire date Contact,2022/05/26 15:21:09
Citire date Adresa,2022/05/26 15:21:16
Citire date Student,2022/05/26 15:21:16
Inchidere meniu Student,2022/05/26 15:21:58
Afisare Meniu Profesor,2022/05/26 15:22:00
Citire date Sala,2022/05/26 15:22:18
Citire date Materie,2022/05/26 15:22:18
Citire date Contact,2022/05/26 15:22:23
Citire date Adresa,2022/05/26 15:22:29
Citire Profesori,2022/05/26 15:22:29
Afisare Meniu Utilizatori,2022/05/26 15:23:53
Afisare Meniu Profesor,2022/05/26 15:23:55
Citire date Sala,2022/05/26 15:24:08
Citire date Materie,2022/05/26 15:24:08
Citire date Contact,2022/05/26 15:24:14
Citire date Adresa,2022/05/26 15:24:19
Citire Profesori,2022/05/26 15:24:19
Afisare Meniu Catalog,2022/05/26 15:50:10
Citire date Contact,2022/05/26 15:50:26
Citire date Adresa,2022/05/26 15:50:30
Citire date Sala,2022/05/26 15:50:49
Citire date Materie,2022/05/26 15:50:49
Citire date Contact,2022/05/26 15:50:58
Citire date Adresa,2022/05/26 15:51:03
Adaugare fila in Catalog,2022/05/26 15:51:03
Afisare Meniu Catalog,2022/05/26 15:53:45
Citire date Contact,2022/05/26 15:54:01
Citire date Adresa,2022/05/26 15:54:06
Citire date Sala,2022/05/26 15:54:34
Citire date Materie,2022/05/26 15:54:34
Citire date Contact,2022/05/26 15:54:41
Citire date Adresa,2022/05/26 15:54:46
Adaugare fila in Catalog,2022/05/26 15:54:46
Inchidere meniu Catalog,2022/05/26 15:55:36
Se inchide aplicatia,2022/05/26 15:55:37
Incarcare date din CSV,2022/05/26 15:55:43
Incarcare date din CSV,2022/05/26 17:26:29
Afisare Meniu Catalog,2022/05/26 17:26:32
Afisare File Catalog,2022/05/26 17:26:34
Incarcare date din CSV,2022/05/26 17:32:52
Incarcare date din CSV,2022/05/26 17:43:31
Incarcare date din CSV,2022/05/26 17:59:34
Incarcare date din CSV,2022/05/26 18:01:04
Incarcare date din CSV,2022/05/26 18:18:32
Incarcare date din CSV,2022/05/26 18:35:28
Incarcare date din CSV,2022/05/26 18:36:05
Afisare Meniu Utilizatori,2022/05/26 18:36:07
Afisare Meniu Profesor,2022/05/26 18:36:09
Afisare Profesori,2022/05/26 18:36:10
Afisare Meniu Catalog,2022/05/26 19:14:30
Afisare Meniu Catalog,2022/05/26 19:44:53
Afisare Meniu Catalog,2022/05/26 19:45:32
Afisare Meniu Catalog,2022/05/26 19:47:24
Afisare Meniu Catalog,2022/05/26 19:48:39
Afisare Meniu Catalog,2022/05/26 19:49:42
Afisare Meniu Catalog,2022/05/26 19:51:31
Afisare Meniu Catalog,2022/05/26 19:55:02
Citire date Contact,2022/05/26 19:55:24
Citire date Adresa,2022/05/26 19:55:31
Citire date Sala,2022/05/26 19:55:52
Citire date Materie,2022/05/26 19:55:52
Citire date Contact,2022/05/26 19:55:57
Citire date Adresa,2022/05/26 19:56:03
Adaugare fila in Catalog,2022/05/26 19:56:03
Inchidere meniu Catalog,2022/05/26 19:56:20
Afisare Meniu Utilizatori,2022/05/26 19:56:22
Afisare Meniu Student,2022/05/26 19:56:25
Sterge Student dupa ID,2022/05/26 19:56:29
Afisare Meniu Catalog,2022/05/26 20:35:27
Citire date Contact,2022/05/26 20:35:40
Citire date Adresa,2022/05/26 20:35:49
Citire date Sala,2022/05/26 20:36:10
Citire date Materie,2022/05/26 20:36:10
Citire date Contact,2022/05/26 20:36:15
Citire date Adresa,2022/05/26 20:36:20
Citire date Sala,2022/05/26 20:36:39
Citire date Materie,2022/05/26 20:36:39
Citire date Contact,2022/05/26 20:36:45
Citire date Adresa,2022/05/26 20:36:49
Adaugare fila in Catalog,2022/05/26 20:36:49
Afisare File Catalog,2022/05/26 20:36:52
Citire date Contact,2022/05/26 20:37:31
Citire date Adresa,2022/05/26 20:37:36
Citire date Sala,2022/05/26 20:37:54
Citire date Materie,2022/05/26 20:37:54
Citire date Contact,2022/05/26 20:38:00
Citire date Adresa,2022/05/26 20:38:02
Adaugare fila in Catalog,2022/05/26 20:38:02
Sterge Fila Catalog dupa ID,2022/05/26 20:38:08
Inchidere meniu Catalog,2022/05/26 20:39:07
Afisare Meniu Utilizatori,2022/05/26 20:39:10
Afisare Meniu Student,2022/05/26 20:39:12
Sterge Student dupa ID,2022/05/26 20:39:15
Afisare Studenti,2022/05/26 20:39:18
Citire date Contact,2022/05/26 20:39:39
Citire date Adresa,2022/05/26 20:39:44
Citire date Student,2022/05/26 20:39:44
